account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x25953c127efd1e15f4d2be82b753d49b12d626d7,14543723,14741925,2022-04-08,2022-05-09,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,492136.3931424854,385488.5436550713,399710.33442804316,-106647.84948741412,-92426.05871444225,-0.21670384668450435,-0.18780577905296808,-0.03558024286092636,2880.217979303079
0x26476944ed3963f09a4178bda9fea0def3a627a4,14616728,14935583,2022-04-19,2022-06-10,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,553.6469799417453,303.84146603364604,230.64584930538336,-249.80551390809921,-323.0011306363619,-0.45119999378373515,-0.5834062901785323,0.3173506783178615,3.8586918347999335
0x281b9e32ad7881b44d9affc88ab9f91c618a4a43,12345347,12358242,2021-05-01,2021-05-03,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9930.504536375922,8663.001754046061,7541.058179694734,-1267.5027823298606,-2389.4463566811883,-0.12763729956387776,-0.24061681336819593,0.14877800271748395,0
0x28fbaced10d2a547b9f47db5f6b49d44301b6c85,12673921,12781956,2021-06-21,2021-07-07,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,38574.072277953914,101188.37549555824,41203.21579901264,62614.30321760433,2629.1435210587297,1.6232225305750265,0.06815830856835288,1.4558368450936061,385.5749251158248
0x296e0c21db4061ebf971e55d5db85011e7ff9797,13617454,13721266,2021-11-15,2021-12-01,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10417.399826298353,8943.629896221963,7856.8678106715215,-1473.7699300763907,-2560.5320156268317,-0.14147195602072518,-0.24579377371720534,0.138320016543279,284.8779132095253
0x29feaa65869e737ad53bfc2325bd8ffed8d27a07,14466343,14467389,2022-03-27,2022-03-27,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,211733.88803683047,212884.4212604946,214050.29620823858,1150.5332236641261,2316.4081714081112,0.005433864339486338,0.010940186254007573,-0.0054467336340883405,0
0x2a928bdd1fe79cc7fee3694475bee00663f7e3b1,12906263,13002580,2021-07-27,2021-08-11,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,84.83597615097284,181.8336214433402,240.51102017846378,96.99764529236737,155.67504402749094,1.143355091709581,1.8350121150307028,-0.24396968875515068,1.6321025895306351
0x2abd9bc4c2d22a8754e82684ab1c04b9cd85cd73,12640268,12974354,2021-06-15,2021-08-07,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1349.3043066143157,2027.0730759837056,2547.1505393326174,677.7687693693899,1197.8462327183017,0.5023097947934757,0.8877509890440848,-0.2041801045199229,48.78381978044656
0x2b53db5d22d4884ca4d9583728f2a2e46ae416eb,11735574,11751096,2021-01-27,2021-01-29,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,369.4547969703309,350.8863774266674,310.6183630417835,-18.56841954366348,-58.83643392854742,-0.05025897537650491,-0.15925205034831985,0.1296382286950215,0.3880272357697408
0x2e134be75b6e025b8f25cfb731c5153500cffa8c,12339895,12352835,2021-04-30,2021-05-02,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,304.9451791238329,284.33315848531186,263.92924972068244,-20.612020638521017,-41.01592940315044,-0.06759254465915278,-0.13450263264038875,0.07730825130682928,0
0x2e9af3a1f42435354846bff3681771b5e3551121,14442282,14548974,2022-03-23,2022-04-09,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16135.3837097103,31465.518635065608,15115.795981556068,15330.134925355307,-1019.5877281542325,0.9500942277641409,-0.06318955573028257,1.0816316040160292,209.498591067023
0x3001e596598ee874eed074b66e7231477189609a,14315999,14328016,2022-03-03,2022-03-05,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2075.4132522461846,2226.8409706734888,2332.714993560992,151.42771842730417,257.30174131480726,0.07296268261919235,0.12397614838217591,-0.0453866088140848,3.254409813949772
0x319d84cae0f06f1f73b722623e08cdfc54cfd30a,12731034,13999454,2021-06-29,2022-01-13,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,43379.92382642817,77214.90441607073,71141.7952959234,33834.98058964256,27761.87146949523,0.7799686492079412,0.6399704983479474,0.08536626177179614,1451.4728407446262
0x31a6e47b1d6159ba059a0cf302c88f59264ac412,12719635,12786584,2021-06-28,2021-07-08,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,488.1233543700227,1038.4155406789596,556.7351514198836,550.2921863089368,68.61179704986085,1.1273629532009382,0.14056241406111777,0.8651876714279856,6.801130179094606
0x31a6e47b1d6159ba059a0cf302c88f59264ac412,12799512,12799524,2021-07-10,2021-07-10,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,128.48178988372362,128.48178988372365,128.48178988372365,2.842170943040401e-14,2.842170943040401e-14,2.2121196673961137e-16,2.2121196673961137e-16,0.0,0
